threshold,accuracy,precision,recall,f1
0.1,0.9977333333333334,0.9990641711229946,0.9964,0.9977303070761014
0.15,0.9978,0.9994648829431438,0.9961333333333333,0.9977963272120199
0.2,0.9978,0.9995985547972702,0.996,0.9977960328591465
0.25,0.9978,0.9995985547972702,0.996,0.9977960328591465
0.3,0.9976666666666667,0.9995984473296747,0.9957333333333334,0.9976621468171799
0.35,0.9976,0.9995983935742971,0.9956,0.9975951903807615
0.4,0.9975333333333334,0.9997321548145172,0.9953333333333333,0.997527894701677
0.45,0.9974666666666666,0.999732118939191,0.9952,0.9974609113991715
0.5,0.9974,0.9998660056277636,0.9949333333333333,0.9973935708079931
0.55,0.9974666666666666,1.0,0.9949333333333333,0.997460232589226
0.6,0.9974666666666666,1.0,0.9949333333333333,0.997460232589226
0.65,0.9973333333333333,1.0,0.9946666666666667,0.9973262032085561
0.7,0.9972,1.0,0.9944,0.9971921379863617
0.75,0.9971333333333333,1.0,0.9942666666666666,0.9971250919301999
0.8,0.9971333333333333,1.0,0.9942666666666666,0.9971250919301999
0.85,0.9971333333333333,1.0,0.9942666666666666,0.9971250919301999
0.9,0.997,1.0,0.994,0.9969909729187563
