samples,val_accuracy,test_accuracy,precision,recall,f1,auc
200,0.7333333333333333,0.7333333333333333,0.8181818181818182,0.6,0.6923076923076923,0.72
1000,0.66,0.7866666666666666,0.864406779661017,0.68,0.7611940298507464,0.8609777777777777
2000,0.68,0.6633333333333333,0.6929133858267716,0.5866666666666667,0.6353790613718412,0.7353333333333334
