samples,accuracy,precision,recall,f1,auc
200,1.0,1.0,1.0,1.0,1.0
1000,0.9833333333333333,1.0,0.9666666666666667,0.983050847457627,0.9995111111111111
2000,0.995,1.0,0.99,0.9949748743718593,0.9991666666666666
