samples,val_accuracy,test_accuracy,precision,recall,f1,auc
200,0.7333333333333333,0.8,0.8461538461538461,0.7333333333333333,0.7857142857142856,0.8266666666666668
1000,0.6666666666666666,0.7,0.7027027027027027,0.6933333333333334,0.6979865771812082,0.7498666666666667
2000,0.68,0.7133333333333334,0.7909090909090909,0.58,0.6692307692307692,0.7871111111111111
6000,0.7122222222222222,0.7277777777777777,0.7839335180055401,0.6288888888888889,0.6979038224414303,0.8194864197530864
20000,0.7396666666666667,0.7503333333333333,0.7895142636854279,0.6826666666666666,0.732213085448695,0.8370933333333334
50000,0.7736,0.7694666666666666,0.7921364556230124,0.7306666666666667,0.760160909973644,0.8541793422222222
