threshold,accuracy,precision,recall,f1,auc,config
0.65,0.7274,0.8862967157417894,0.5217333333333334,0.6568191355434326,0.839790951111111,1_structural_only (baseline)
0.65,0.9973333333333333,1.0,0.9946666666666667,0.9973262032085561,0.9984681422222221,"7_all_fused (ours, tuned)"
