fpr,tpr
0.0,0.0
0.0,0.15106666666666665
0.0,0.1512
0.0,0.3824
0.0,0.3828
0.0,0.38293333333333335
0.0,0.744
0.0,0.7454666666666667
0.0,0.7506666666666667
0.0,0.7696
0.0,0.7698666666666667
0.0,0.784
0.0,0.7968
0.0,0.7981333333333334
0.0,0.8157333333333333
0.0,0.8604
0.0,0.8614666666666667
0.0,0.8616
0.0,0.9024
0.0,0.9025333333333333
0.0,0.9038666666666667
0.0,0.9117333333333333
0.0,0.9149333333333334
0.0,0.9154666666666667
0.0,0.9157333333333333
0.0,0.916
0.0,0.9165333333333333
0.0,0.9190666666666667
0.0,0.9192
0.0,0.9244
0.0,0.9256
0.0,0.9262666666666667
0.0,0.9265333333333333
0.0,0.9284
0.0,0.9292
0.0,0.9296
0.0,0.9298666666666666
0.0,0.9302666666666667
0.0,0.9305333333333333
0.0,0.9314666666666667
0.0,0.932
0.0,0.9321333333333334
0.0,0.9334666666666667
0.0,0.9337333333333333
0.0,0.9342666666666667
0.0,0.9354666666666667
0.0,0.9356
0.0,0.9382666666666667
0.0,0.9385333333333333
0.0,0.9396
0.0,0.9408
0.0,0.9412
0.0,0.9416
0.0,0.9418666666666666
0.0,0.9422666666666667
0.0,0.9428
0.0,0.9434666666666667
0.0,0.9438666666666666
0.0,0.9441333333333334
0.0,0.9444
0.0,0.9446666666666667
0.0,0.9452
0.0,0.9454666666666667
0.0,0.9456
0.0,0.9461333333333334
0.0,0.9466666666666667
0.0,0.9470666666666666
0.0,0.9478666666666666
0.0,0.9481333333333334
0.0,0.9490666666666666
0.0,0.9493333333333334
0.0,0.9494666666666667
0.0,0.9497333333333333
0.0,0.95
0.0,0.9502666666666667
0.0,0.9505333333333333
0.0,0.9510666666666666
0.0,0.9517333333333333
0.0,0.9522666666666667
0.0,0.9534666666666667
0.0,0.9537333333333333
0.0,0.9542666666666667
0.0,0.9546666666666667
0.0,0.9557333333333333
0.0,0.956
0.0,0.9569333333333333
0.0,0.9572
0.0,0.9573333333333334
0.0,0.9576
0.0,0.9693333333333334
0.0,0.9696
0.0,0.9718666666666667
0.0,0.9721333333333333
0.0,0.9728
0.0,0.9730666666666666
0.0,0.9782666666666666
0.0,0.9785333333333334
0.0,0.9949333333333333
0.00013333333333333334,0.9949333333333333
0.00013333333333333334,0.9952
0.0002666666666666667,0.9952
0.0002666666666666667,0.9956
0.0004,0.9956
0.0004,0.9961333333333333
0.0006666666666666666,0.9961333333333333
0.0006666666666666666,0.9962666666666666
0.0008,0.9962666666666666
0.0008,0.9964
0.0013333333333333333,0.9964
0.0013333333333333333,0.9965333333333334
0.0033333333333333335,0.9965333333333334
0.0033333333333333335,0.9966666666666667
0.0152,0.9966666666666667
0.0152,0.9968
0.017466666666666665,0.9968
0.017466666666666665,0.9969333333333333
0.0308,0.9969333333333333
0.0308,0.9970666666666667
0.0796,0.9970666666666667
0.0796,0.9972
0.08106666666666666,0.9972
0.08106666666666666,0.9973333333333333
0.08986666666666666,0.9973333333333333
0.08986666666666666,0.9974666666666666
0.13986666666666667,0.9974666666666666
0.13986666666666667,0.9976
0.1596,0.9976
0.15986666666666666,0.9976
0.19733333333333333,0.9976
0.19733333333333333,0.9977333333333334
0.2521333333333333,0.9977333333333334
0.2521333333333333,0.9978666666666667
0.27573333333333333,0.9978666666666667
0.27573333333333333,0.998
0.3316,0.998
0.3316,0.9981333333333333
0.34026666666666666,0.9981333333333333
0.34026666666666666,0.9982666666666666
0.3496,0.9982666666666666
0.34986666666666666,0.9982666666666666
0.3737333333333333,0.9982666666666666
0.3737333333333333,0.9984
0.39986666666666665,0.9984
0.40013333333333334,0.9984
0.4026666666666667,0.9984
0.4026666666666667,0.9985333333333334
0.46026666666666666,0.9985333333333334
0.46026666666666666,0.9986666666666667
0.48346666666666666,0.9986666666666667
0.48373333333333335,0.9986666666666667
0.5564,0.9986666666666667
0.5566666666666666,0.9986666666666667
0.578,0.9986666666666667
0.5782666666666667,0.9986666666666667
0.6066666666666667,0.9986666666666667
0.6066666666666667,0.9988
0.6910666666666667,0.9988
0.6910666666666667,0.9989333333333333
0.6921333333333334,0.9989333333333333
0.6924,0.9989333333333333
0.7973333333333333,0.9989333333333333
0.7976,0.9989333333333333
0.8009333333333334,0.9989333333333333
0.8009333333333334,0.9990666666666667
0.8025333333333333,0.9990666666666667
0.8028,0.9990666666666667
0.8248,0.9990666666666667
0.8248,0.9992
0.836,0.9992
0.836,0.9993333333333333
0.8496,0.9993333333333333
0.8498666666666667,0.9993333333333333
0.8530666666666666,0.9993333333333333
0.8530666666666666,0.9994666666666666
0.872,0.9994666666666666
0.8722666666666666,0.9994666666666666
0.8916,0.9994666666666666
0.8916,0.9996
0.9026666666666666,0.9996
0.9026666666666666,0.9997333333333334
0.95,0.9997333333333334
0.9502666666666667,0.9997333333333334
0.988,0.9997333333333334
0.988,0.9998666666666667
0.9894666666666667,0.9998666666666667
0.9897333333333334,0.9998666666666667
0.9918666666666667,0.9998666666666667
0.9921333333333333,0.9998666666666667
0.9977333333333334,0.9998666666666667
0.9977333333333334,1.0
1.0,1.0
